"","KEGG_ID","CSID"
"691","C18901",83452
"694","C18459",77730
"696","C01185",108822
"697","C08726",144246
"698","C19090",17408
"699","C07933",5036403
"701","C18531",30791364
"704","C13749",5160
"705","C15617",5492
"706","C00055",5901
"707","C05822",59906
"708","C15270",8696
"709","C03104",91754
"710","C07446",5709
"711","C06813",7138
"712","C00253",913
"713","C10164",993
"714","C04660",10128142
"715","C04709",10128145
"716","C12645",391982
"718","C18517",9670858
"720","C05340",389522
"728","C10933",82874
"731","C17944",20145035
"733","C08026",4575389
"734","C12531",5188
"739","C18917",31583
"740","C07415",39888
"743","C15699",20148392
"744","C05341",389523
"745","C13326",108739
"746","C03300",20117974
"747","C16449",29273172
"749","C08518",390255
"750","C10635",391189
"752","C16431",4945213
"754","C13870",13849665
"755","C09693",390830
"756","C04834",4444315
"757","C09694",4444856
"760","C20121",8533001
"764","C01152",58494
"765","C03298",81836
"767","C17975",30791541
"768","C18573",8037772
"769","C00360",12079
"776","C07571",4481878
"778","C16508",9186651
"779","C10755",30791150
"782","C20519",5429202
"784","C08010",2297867
"786","C09862",390907
"788","C00941",18153
"789","C10668",391204
"790","C14936",4821691
"791","C02354",62159
"792","C03626",110375
"793","C01404",388593
"795","C08951",390500
"796","C09463",390733
"797","C09636",390804
"798","C09405",4444785
"799","C14895",4512696
"800","C09268",10295
"801","C17216",11290591
"802","C01173",388539
"803","C03081",4444190
"805","C14959",217135
"808","C15122",4877064
"809","C11085",53919
"811","C19602",137921
"812","C19563",21374642
"815","C19566",28682020
"816","C02778",5686
"818","C00437",388369
"819","C01047",388498
"820","C16604",10522208
"823","C10173",46788
"824","C02710",64075
"825","C16420",7822150
"828","C09501",10128235
"833","C00796",10183330
"834","C12376",391886
"836","C19375",8761
"839","C07653",3280
"841","C17238",30791706
"842","C07905",3762
"843","C04524",389328
"844","C15296",4526816
"848","C19031",19113
"849","C13785",263773
"850","C17017",30791720
"852","C18974",69741
"853","C19285",13002
"854","C01620",388628
"857","C00262",768
"858","C08305",7827534
"860","C15095",219690
"862","C05392",30791302
"863","C04733",389396
"864","C06118",389403
"865","C06187",389766
"866","C09216",4444756
"868","C14223",59865
"870","C05711",29368601
"871","C02852",388874
"873","C07708",390074
"874","C12067",391761
"875","C15045",4713770
"876","C00475",5940
"877","C02961",6017
"878","C00250",1021
"879","C14171",10358
"880","C05831",224233
"881","C12323",33241
"882","C06051",389729
"883","C14170",70184
"884","C03493",81106
"885","C03986",85923
"886","C07070",25037
"887","C07906",25996
"888","C10312",2845
"891","C01474",6056
"892","C11337",61887
"893","C14267",6518
"896","C09331",390679
"900","C09930",390939
"901","C18934",80234
"902","C07630",16218
"905","C19949",97186
"906","C20585",30790752
"907","C01602",380
"908","C03943",389160
"909","C00077",6026
"910","C00515",64236
"911","C01347",388587
"912","C00104",6570
"913","C13168",392057
"914","C02037",10690
"915","C02642",109
"916","C00366",1142
"917","C19301",11506
"918","C19258",19953632
"919","C16438",231
"920","C01043",388495
"921","C01905",388679
"922","C00152",6031
"923","C05533",389591
"924","C19469",7167
"925","C10205",4445024
"930","C03184",29305007
"931","C07574",56098
"934","C07323",10642377
"935","C12189",140368
"938","C08197",7950
"939","C07128",3918
"942","C11792",9697
"943","C14167",9945
"944","C18264",131860
"945","C18263",145344
"946","C16644",21864821
"947","C11799",2339844
"949","C06579",389890
"950","C09853",390903
"951","C19244",45327
"952","C19180",48285
"953","C07431",55051
"954","C18250",7822254
"955","C18265",7822260
"956","C18266",7822261
"957","C17454",8256975
"958","C03227",11318
"959","C17878",136004
"960","C01927",141259
"961","C16208",15537041
"962","C07312",17270
"963","C08261",2179
"964","C02099",388723
"965","C05651",389616
"966","C14231",4445524
"967","C14232",4445525
"968","C09321",553827
"970","C02794",87
"971","C00766",9833
"972","C00318",10455
"973","C15025",2006614
"974","C19430",2707452
"975","C12245",391843
"978","C02997",68142
"980","C08098",390126
"981","C10837",391294
"982","C18443",83451
"983","C10334",97126
"985","C14432",2297683
"986","C05906",389677
"988","C12127",58594
"989","C12136",65231
"990","C00200",8928
"993","C07585",64672
"994","C01103",141140
"995","C18729",21106510
"996","C17184",29215783
"997","C17117",30790946
"998","C05325",392380
"999","C17118",421123
"1000","C04527",4444282
"1001","C10118",4444997
"1002","C12633",4445351
"1003","C18386",64667
"1004","C06196",82650
