Compound,CSID
0.67_111.0089m/z,CSID10251740
0.73_433.1051m/z,CSID2302066
0.73_433.1051m/z,CSID306417
0.73_433.1051m/z,CSID31982
0.73_433.1051m/z,CSID4445229
0.73_433.1051m/z,CSID8041294
0.73_433.1051m/z,CSID96875
1.41_166.0503m/z,CSID1021
1.41_166.0503m/z,CSID10358
1.41_166.0503m/z,CSID224233
1.41_166.0503m/z,CSID33241
1.41_166.0503m/z,CSID389729
1.41_166.0503m/z,CSID70184
1.41_166.0503m/z,CSID81106
1.41_166.0503m/z,CSID85923
0.67_294.9929m/z,CSID2804
0.67_294.9929m/z,CSID30791863
0.67_294.9929m/z,CSID3562
0.67_294.9929m/z,CSID388504
0.67_294.9929m/z,CSID388869
0.67_294.9929m/z,CSID58860
0.67_294.9929m/z,CSID9272435
1.47_305.0318m/z,CSID16737143
1.47_305.0318m/z,CSID30791706
1.47_305.0318m/z,CSID3762
1.47_305.0318m/z,CSID389328
1.47_305.0318m/z,CSID4526816
0.93_345.0471m/z,CSID16218
0.93_345.0471m/z,CSID21247660
0.93_345.0471m/z,CSID5132
0.93_345.0471m/z,CSID97186
2.52_913.1895m/z,CSID30791738
2.79_365.0837m/z,CSID102925
2.79_365.0837m/z,CSID213722
2.79_365.0837m/z,CSID215115
2.79_365.0837m/z,CSID30089
2.79_365.0837m/z,CSID390396
2.79_365.0837m/z,CSID4512695
0.73_478.0852m/z,CSID30791897
2.74_169.0873m/z,CSID36101
2.74_169.0873m/z,CSID75385
1.17_463.1527m/z,CSID16736445
1.17_463.1527m/z,CSID390500
1.17_463.1527m/z,CSID390733
1.17_463.1527m/z,CSID390804
1.17_463.1527m/z,CSID4444785
1.17_463.1527m/z,CSID4512696
2.69_655.2110m/z,CSID21250960
0.75_651.1769m/z,CSID391860
0.77_414.1234m/z,CSID16736502
0.77_414.1234m/z,CSID21164386
0.77_414.1234m/z,CSID4940176
0.77_414.1234m/z,CSID90571
0.70_460.0227m/z,CSID570940
0.77_303.0854m/z,CSID113990
0.77_303.0854m/z,CSID11448
0.77_303.0854m/z,CSID182277
0.77_303.0854m/z,CSID22177
0.77_303.0854m/z,CSID22369729
0.77_303.0854m/z,CSID28423
0.77_303.0854m/z,CSID30791367
0.77_303.0854m/z,CSID30791370
0.77_303.0854m/z,CSID30791371
0.77_303.0854m/z,CSID388759
0.77_303.0854m/z,CSID390048
0.77_303.0854m/z,CSID390376
0.77_303.0854m/z,CSID390387
0.77_303.0854m/z,CSID5065
0.77_303.0854m/z,CSID60466
0.77_303.0854m/z,CSID64271
0.77_303.0854m/z,CSID64479
1.96_489.0565m/z,CSID390129
0.72_518.0719m/z,CSID48481
0.72_518.0719m/z,CSID7878772
0.72_518.0719m/z,CSID90622
2.81_655.2121m/z,CSID21250960
