"","unlist.path_comp3."
"1682","C06451"
"1683","C06452"
"1684","C06454"
"1685","C06455"
"1686","C06456"
"1687","C06457"
"1688","C06459"
"1689","C17940"
"1690","C17941"
"1691","C17942"
"1692","C17943"
"1693","C17944"
"1694","C17945"
"1695","C17947"
"1696","C17948"
"1697","C17949"
"1698","C17950"
"1699","C17951"
"1700","C17952"
"1701","C17960"
"1702","C17961"
"1703","C17962"
"1704","C20396"
"1705","C20422"
"1706","C20423"
"1707","C20440"
"1708","C20986"
"1709","C21372"
"1710","C21403"
"1711","C21404"
"1712","C21613"
"1713","C00017"
"1715","C01528"
"1716","C02535"
"1717","C05172"
"1718","C05335"
"1719","C05336"
"1720","C05684"
"1721","C05686"
"1722","C05688"
"1723","C05689"
"1724","C05690"
"1725","C05695"
"1726","C05697"
"1727","C05698"
"1728","C05699"
"1729","C05703"
"1730","C06481"
"1731","C06482"
"1732","C16638"
"1733","C18870"
"1734","C18871"
"1735","C18872"
"1736","C18893"
"1737","C18902"
"1738","C18904"
"1739","C18905"
"1743","C00217"
"1744","C00692"
"1745","C00819"
"1746","C01050"
"1747","C01212"
"1748","C02237"
"1749","C02671"
"1750","C03933"
"1751","C05723"
"1752","C22053"
"1756","C00515"
"1757","C00792"
"1759","C01667"
"1760","C03341"
"1763","C03943"
"1764","C00005"
"1765","C00006"
"1773","C00127"
"1775","C00151"
"1777","C00669"
"1779","C01322"
"1780","C01419"
"1782","C01879"
"1783","C02090"
"1784","C02320"
"1785","C03170"
"1786","C03646"
"1787","C03740"
"1789","C05726"
"1790","C05727"
"1791","C05729"
"1792","C05730"
"1793","C16562"
"1794","C16563"
"1795","C16564"
"1796","C16565"
"1797","C16566"
"1798","C16567"
"1799","C16568"
"1800","C16663"
"1801","C16664"
"1806","C00092"
"1809","C00185"
"1810","C00208"
"1811","C00252"
"1812","C00369"
"1813","C00372"
"1814","C00394"
"1815","C00498"
"1816","C00501"
"1817","C00663"
"1818","C00689"
"1819","C00718"
"1820","C00721"
"1821","C00760"
"1822","C00963"
"1823","C00965"
"1824","C00973"
"1825","C01083"
"1826","C01231"
"1827","C01725"
"1828","C01898"
"1829","C01935"
"1830","C02591"
"1831","C02995"
"1832","C03323"
"1833","C04534"
"1834","C05731"
"1835","C06215"
"1836","C06400"
"1837","C16688"
"1838","C20237"
"1840","C00110"
"1841","C00381"
"1842","C00621"
"1843","C01246"
"1844","C03021"
"1845","C03862"
"1846","C06081"
"1847","G00001"
"1848","G00002"
"1849","G00003"
"1850","G00004"
"1851","G00005"
"1852","G00006"
"1853","G00007"
"1854","G00008"
"1855","G00009"
"1856","G00010"
"1857","G00011"
"1858","G00012"
"1859","G00013"
"1860","G00014"
"1861","G00015"
"1862","G00016"
"1863","G00017"
"1864","G00018"
"1865","G00019"
"1866","G00020"
"1867","G00021"
"1868","G00022"
"1869","G00171"
"1870","G10526"
"1871","G10595"
"1872","G10596"
"1873","G10597"
"1874","G10598"
"1875","G10599"
"1876","G10694"
"1877","C02189"
"1878","G00023"
"1879","G00024"
"1880","G00025"
"1881","G00026"
"1882","G00027"
"1883","G00028"
"1884","G00029"
"1885","G00030"
"1886","G00031"
"1887","G00032"
"1888","G00033"
"1889","G00034"
"1890","G00035"
"1891","G10611"
"1899","G00179"
"1900","G01813"
"1901","G05477"
"1902","G10665"
"1904","G10716"
"1905","G10770"
"1906","G10841"
"1907","G10920"
"1908","G11000"
"1909","G11040"
"1910","G11933"
"1911","G12617"
"1912","G12625"
"1913","G12626"
"1914","G13047"
"1915","G13048"
"1916","G13049"
"1917","G13050"
"1918","G13055"
"1919","G13056"
"1920","G13057"
"1921","G13058"
"1922","G13059"
"1927","G10617"
"1928","G13026"
"1929","G13027"
"1930","G13028"
"1931","G13082"
"1932","G13083"
"1933","G13084"
"1934","G13085"
"1935","G13086"
"1936","G13087"
"1937","G13088"
"1938","G13089"
"1939","G13090"
"1940","G13091"
"1941","G13092"
"1942","G13093"
"1943","G13094"
"1944","G13095"
"1945","G13096"
"1946","G13097"
"1947","G13098"
"1948","G13099"
"1949","G13100"
"1952","C00043"
"1956","C00128"
"1957","C00140"
"1961","C00190"
"1963","C00203"
"1966","C00270"
"1969","C00329"
"1972","C00357"
"1975","C00461"
"1978","C00617"
"1980","C00645"
"1983","C00734"
"1984","C00935"
"1987","C00996"
"1988","C00999"
"1991","C01170"
"1992","C01219"
"1994","C01623"
"1995","C01674"
"1996","C01788"
"1997","C02199"
"1999","C02330"
"2000","C02336"
"2001","C02352"
"2002","C02474"
