"","unlist.path_gene2."
"781","18584"
"782","14198"
"783","224794"
"784","23972"
"785","23971"
"786","18605"
"787","209558"
"788","22262"
"789","76974"
"790","231903"
"791","94041"
"793","17960"
"794","17961"
"795","17962"
"798","69719"
"799","56749"
"800","22247"
"801","66588"
"802","22169"
"818","51797"
"819","55936"
"820","80914"
"821","22245"
"822","68556"
"832","22271"
"833","76654"
"834","331487"
"835","99586"
"836","64705"
"837","103149"
"843","66422"
"844","110074"
"845","22171"
"846","72269"
"847","72962"
"851","320685"
"852","57813"
"853","21877"
"854","21915"
"858","14204"
"859","100470"
"860","100328588"
"861","73988"
"862","70503"
"863","66514"
"864","27053"
"865","52633"
"868","11611"
"869","268782"
"875","269642"
"876","108653"
"877","194237"
"878","53320"
"879","11484"
"880","14415"
"881","14417"
"882","268860"
"883","214579"
"885","212647"
"891","14583"
"892","14584"
"894","71776"
"895","20425"
"896","108037"
"898","76238"
"903","236539"
"904","107272"
"905","100678"
"906","26912"
"907","58865"
"908","11656"
"909","11655"
"910","17161"
"911","109731"
"912","11754"
"913","237940"
"914","104174"
"915","434437"
"917","68133"
"918","13142"
"920","67092"
"921","14431"
"922","218865"
"924","12116"
"925","74129"
"926","19193"
"927","192166"
"928","14711"
"929","12411"
"930","107869"
"931","231691"
"932","257635"
"933","27364"
"935","229905"
"936","70266"
"939","64918"
"940","238505"
"941","11720"
"942","232087"
"943","108645"
"944","11702"
"945","100041585"
"946","20810"
"947","20603"
"948","66902"
"949","67873"
"950","56369"
"951","67870"
"952","104923"
"958","13433"
"959","13435"
"960","13436"
"961","269378"
"962","229709"
"963","74340"
"964","11615"
"965","12035"
"966","12036"
"968","14629"
"969","14630"
"970","14854"
"971","12583"
"974","246221"
"975","22117"
"992","12039"
"993","12040"
"994","13171"
"998","56357"
"1000","66948"
"1005","15108"
"1010","110821"
"1011","66904"
"1012","73724"
"1013","17850"
"1014","227095"
"1015","58875"
"1016","104776"
"1022","213043"
"1023","11761"
"1024","71872"
"1025","71724"
"1029","72039"
"1030","78038"
"1031","11992"
"1037","78894"
"1046","30956"
"1048","23923"
"1049","209692"
"1059","235386"
"1060","72947"
"1062","73582"
"1063","214162"
"1064","381022"
"1065","231051"
"1066","75410"
"1067","69188"
"1068","233904"
"1069","208043"
"1070","73251"
"1071","213389"
"1072","192195"
"1073","12180"
